<<<<<<< HEAD
key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-auditor-01,true,"UserIdentity{name: 'Peter', surname: 'Parker', email: 'parker@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Lois', surname: 'Griffin', email: 'griffin@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Mr', surname: 'Robot', email: 'robot@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Morgan', surname: 'Freeman', email: 'freeman@acme.com'}",auditor4,auditor4
=======
key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-sponsor-01,true,"UserIdentity{name: 'Sponsor1', surname: 'Acme', email: 'sponsor1@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Sponsor2', surname: 'Acme', email: 'sponsor2@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Sponsor3', surname: 'Acme', email: 'sponsor3@acme.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Sponsor4', surname: 'Acme', email: 'sponsor4@acme.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Sponsor5', surname: 'Acme', email: 'sponsor5@acme.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Sponsor6', surname: 'Acme', email: 'sponsor6@acme.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Sponsor7', surname: 'Acme', email: 'sponsor7@acme.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Sponsor8', surname: 'Acme', email: 'sponsor8@acme.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'Sponsor9', surname: 'Acme', email: 'sponsor9@acme.com'}",sponsor9,sponsor9
user-account-sponsor-10,true,"UserIdentity{name: 'Sponsor10', surname: 'Acme', email: 'sponsor10@acme.com'}",sponsor10,sponsor10
user-account-fundraiser-01,true,"UserIdentity{name: 'Frank', surname: 'Fundraiser', email: 'frank@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Sarah', surname: 'Writer', email: 'sarah@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'David', surname: 'Smith', email: 'david@acme.com'}",fundraiser3,fundraiser3
user-account-fundraiser-04,true,"UserIdentity{name: 'New', surname: 'Fundraiser4', email: 'fund4@acme.com'}",fundraiser4,fundraiser4
>>>>>>> origin/develop
